Year protection applied,Where filed,Who,Tech field,Patent #,more date info,Title/summary in English,Sources and notes  (see Sources worksheet for details),Original language patent title (or closest available info),Supplementary to,related to aircraft?,date applied for,date granted,Global patent id,,,,,
1908,br,"Vrengdenhill, J.",control,6741,1908/03/26,control/navigation system for air or water,"AJ, July 1908, p. 100","New or improved paddle, oar, rudder, or helm and the like, for paddle steamers, airships, rowboards, dirivng or under-water boats and the like",---,1,,,,,,,,
1908,br,"Caponi, F.",,7129,1908/03/31,Improvements in aeroplanes,"AJ, July 1908, p. 100",Improvements in aeroplanes,---,1,,,,,,,,
1908,br,"Kay, M.",,7205,1908/04/01,Aeroplane and flying machine improvements,"AJ, July 1908, p. 100",Improvements in and relating to aeroplanes and flying machines,---,1,,,,,,,,
1908,br,"Saward, J.",LTA,7370,1908/04/03,Airship  ,"AJ, July 1908, p. 100",Airship  ,---,1,,,,,,,,
1908,br,"Mielcaree, W.S.",LTA,7632,1908/04/06,Improvements in airships,"AJ, July 1908, p. 100",Improvements in airships,---,1,,,,,,,,
1908,br,"Holzinger, J.",propulsion,7686,1908/04/07,Propeller for air or water,"AJ, July 1908, p. 100",Improved propeller for use in air or water,---,1,,,,,,,,
1908,br,"Rogers, S.; Fogarty, F.M.",propulsion,7971,1908/04/10,Propeller for air or water,"AJ, July 1908, p. 100",Improved propellers for aerial and marine navigation,---,1,,,,,,,,
1908,br,"Chappell, C.A.",,8099,1908/04/11,"Improvements in or connected with flying machines, aeroplanes, aerocurves, kites, and the like ","AJ, July 1908, p. 100","Improvements in or connected with flying machines, aeroplanes, aerocurves, kites, and the like ",---,1,,,,,,,,
1908,br,"Michalk, W.",LTA,8306,1908/04/14,Aerostat  ,"AJ, July 1908, p. 100",Improvements in aerostats,---,1,,,,,,,,
1908,br,"Jouveneau, A.",,8360,1908/04/15,Improvements in or relating to flying machines or the like,"AJ, July 1908, p. 100",Improvements in or relating to flying machines or the like,---,1,,,,,,,,
1908,br,"Martineau, F.L.",,8488,1908/04/16,Improvements in and relating to aerial machines,"AJ, July 1908, p. 100",Improvements in and relating to aerial machines,---,1,,,,,,,,
1908,br,"Worswick, A.",airfoils; propulsion,8591,1908/04/18,propellers and wings for aeroplanes,"AJ, July 1908, p. 100",Improvements in propellers and wings for aeroplanes and the like,---,1,,,,,,,,
1908,br,"Hart, G.W.",airfoils  ,8627,1908/04/18,Wings of flying machines,"AJ, July 1908, p. 100",Improvements relating to the wings of flying machines,---,1,,,,,,,,
1908,br,"Demoulin, A.",,8628,1908/04/18,Improvements in and relating to aeroplanes and flying machines,"AJ, July 1908, p. 100",Improvements in and relating to aeroplanes and flying machines,---,1,,,,,,,,
1908,br,"Esnault-Pelterie, R.",,8643,1908/04/18,Wing spar,"Neilson, 1910 p. 45 ; AJ, July 1908, p. 100",Improvements in aeroplanes,---,1,,,,,,,,
1908,br,"Mees, A.B.",control;propulsion,8681,1908/04/21,"Mechanism for lifting, propelling, and steering in air","AJ, July 1908, p. 100","New or improved mechanism for lifting, propelling, and steering in the air",---,1,,,,,,,,
1908,br,"Shadbolt, L. P.",control,8842,1908/04/23,Control – rudder,"Neilson, 1910 p. 45",Improved method of steerign an aeroplane,,1,,,,,,,,
1908,br,"Jun, J.S.",control,8844,1908/04/23,"Control of motor propelled vehicles, boats, and flying machines","AJ, July 1908, p. 100","Improvements in and relating to the control of motor propelled vehicles, boats, and flying machines",---,,,,,,,,,
1908,br,"Bleriot, L.",control,9069,1908/02/05,Control – rudder,"Neilson, 1910 p. 46 ; number or date may be wrong otherwise it would be listed in AJ, July 1908",Control – rudder,,1,,,,,,,,
1908,br,"Booth, H.S.",,9513,1908/05/02,Flying machines,"AJ, July 1908, p. 100",Improvements in flying machines,---,,,,,,,,,
1908,br,Motorluftschiff-Studienges,safety; LTA,9799,1908/05/05,Safety valve for air balloons,"AJ, July 1908, p. 100",Safety valve for air balloons,---,,,,,,,,,
1908,br,"Brown, C.R.B.",,9898,1908/05/06,Aeronautical machines,"AJ, July 1908, p. 100",Improvements in aeronautical machines,,,,,,,,,,
1908,br,"Humbert, V.",,9970,1908/05/07,flying machine,"AJ, July 1908, p. 100",flying machine,,,,,,,,,,
1908,br,"Kay, J.",stabilization,10161,1908/05/11,"Steadying balloons, perhaps applicable to airships, flying machines","AJ, July 1908, p. 100","Improvement in steadying balloons, also when applicable to airships, flying machines, and the like",,,,,,,,,,
1908,br,"Esnault-Pelterie, R.",control,10528,1908/05/14,automatic wing-warping,"Neilson, 1910 p. 46 ; AJ, July 1908, p. 100",Improvements in aeroplanes,,1,,,,,,,,
1908,br,"Williams, H.E.",,10801,1908/05/18,For machines navigating the air,"AJ, July 1908, p. 100",Improvements in and relating to machines used for navigating the air,,,,,,,,,,
1908,br,"Fu Pietro, P.G.C.",airplane,10900,1908/05/20,Aeroplane  ,"AJ, July 1908, p. 100",New aeroplane  ,,,,,,,,,,
1908,br,"Puffard, H.H.",,11155,1908/05/22,Improvements in flying machines,"AJ, July 1908, p. 100",Improvements in flying machines,,,,,,,,,,
1908,br,"Tartarenoff, W.",,11719,1908/05/29,Improvements in flying machines,"AJ, July 1908, p. 100",Improvements in flying machines,,,,,,,,,,
1908,br,"Fairweather, W.",,11763,1908/05/30,Improvements in airships,"AJ, July 1908, p. 100",Improvements in airships,,,,,,,,,,
1908,br,"Skouses, P.",,11905,1908/06/01,reaction engine,"Neilson, 1910 p. 47",reaction engine,,1,,,,,,,,
1908,br,"Wisniewski, V.",,11948,1908/06/02,relating to airships and flying machines,"AJ, July 1908, p. 100",Improvements in or relating to airships and flying machines,,,,,,,,,,
1908,br,"Garsed, J.L.",,12013,1908/06/03,stabilization device for steering aerial machines,"Neilson, 1910 p. 48 ; AJ, July 1908, p. 100",Improvements in the method of and means employed for steering aerial machines,,1,,,,,,,,
1908,br,"Miller, J.",LTA,12102,1908/06/03,Airship,"AJ, July 1908, p. 100",Improved airship,,,,,,,,,,
1908,br,"Allen,R.",,12131,1908/06/04,aerial navigation,"AJ, July 1908, p. 100",Improvements in and relating to aerial navigation,,,,,,,,,,
1908,br,"Aasen, N.W.",parachute,12148,1908/06/04,Parachute improvement,"AJ, July 1908, p. 100",Improvements in rocket parachutes,,,,,,,,,,
1908,br,"Clement, A.",LTA,12247,1908/06/05,Dirigible,"AJ, July 1908, p. 100",Improved dirigible balloon,,,,,,,,,,
1908,br,"Porter, J.R.; Mallinsson, J.E.",,13016,1908/06/18,Improvements in and relating to flying machines,"AJ, July 1908, p. 100",Improvements in and relating to flying machines,,,,,,,,,,
1908,br,"Clarke, T.W.K.",,15924,1908/07/27,Flying machine,"Neilson, 1910 p. 48",Flying machine,,1,,,,,,,,
1908,br,"Weiss, J.",,17150,1908/08/14,wing design,"Neilson, 1910 p. 49",wing design,,1,,,,,,,,
1908,br,"Hare, E. H.",,19805,1908/04/21,wing design,"Neilson, 1910 p. 49",wing design,,1,,,,,,,,
1908,br,"Maxim, Hiram Stevens",,20038,1908/09/23,Flying machine,"Neilson, 1910 p. 50",Flying machine,,1,,,,,,,,
1908,br,"Bleriot, L.",,20785,1908/10/02,STOL,"Neilson, 1910 p. 51",STOL,,1,,,,,,,,
1908,br,"Tribelhorn, A.",,21092,1908/10/06,boxrudder,"Neilson, 1910 p. 51",boxrudder,,1,,,,,,,,
1908,br,"Bleriot, L.",,21497,1908/02/05,controls,"Neilson, 1910 p. 52",controls,,1,,,,,,,,
1908,br,"Wright, J. M.",,22258,1908/10/20,deflecting propellers,"Neilson, 1910 p. 54",deflecting propellers,,1,,,,,,,,
1908,br,"Friese-Greene, W.",,23595,1908/11/04,hybrid power,"Neilson, 1910 p. 54",hybrid power,,1,,,,,,,,
1908,br,"Wright, Orville & Wilbur",,24076,1908/11/10,wing warping improvements,"Neilson, 1910 p. 54",wing warping improvements,,1,,,,,,,,
1908,br,"Wright, Orville & Wilbur",,24077,1908/11/10,wingtip rudders,"Neilson, 1910 p. 56",wingtip rudders,,1,,,,,,,,
1908,br,"Esnault-Pelterie, R.",,28026,1908/12/23,landing gear shocks,"Neilson, 1910 p. 57",landing gear shocks,,1,,,,,,,,
1909,br,"Bleriot, L.",,463,1909/01/07,landing gear,"Neilson, 1910 p. 58",landing gear,,1,,,,,,,,
1909,br,"Roe, A.V.",,750,1909/01/12,Flying machine,"Neilson, 1910 p. 58",Flying machine,,1,,,,,,,,
1909,br,"Wright, Orville & Wilbur",,2913,1909/02/06,stabilization device,"Neilson, 1910 p. 59",stabilization device,,1,,,,,,,,
1909,br,"Dunne, J.W.",,8118,1909/04/05,design for a stable flying machine,"Neilson, 1910 p. 60",design for a stable flying machine,,1,,,,,,,,
1909,br,"Esnault-Pelterie, R.",,10098,1909/04/28,Variable-pitch propeller,"Neilson, 1910 p. 60",Variable-pitch propeller,,1,,,,,,,,
1909,br,"Lanchester, F. W.",,10422,1909/05/03,Box rudder,"Neilson, 1910 p. 62",Box rudder,,1,,,,,,,,
1909,br,"Dunne, J.W.",,11021,1909/05/10,design for a stable flying machine,"Neilson, 1910 p. 60",design for a stable flying machine,,1,,,,,,,,
1909,br,Societe des Moteurs Gnome,,12036,1909/05/21,Engine,"Neilson, 1910 p. 63",Engine,,1,,,,,,,,
1909,br,"Herring, A. M.",,12256,1909/05/24,Gyroscopic propeller angling,"Neilson, 1910 p. 64",Gyroscopic propeller angling,,1,,,,,,,,
1909,br,"Wright, Orville & Wilbur",,16068,1909/07/09,cambering rudder,"Neilson, 1910 p. 65",cambering rudder,,1,,,,,,,,
1909,br,"Short, H. L., A. E., & H. O.",,23166,1909/10/11,cambering rudder,"Neilson, 1910 p. 66",cambering rudder,,1,,,,,,,,
1910,br,"Short, H. L., A. E., & H. O.",,2611,1910/02/02,cambering rudder or main “plane”,"Neilson, 1910 p. 67",cambering rudder or main “plane”,,1,,,,,,,,
1910,br,"Grace, P. P.",,4515,1910/02/23,cable tensioning fitting,"Neilson, 1910 p. 68",cable tensioning fitting,,1,,,,,,,,
1910,br,Societe Antoinette,,14760,1910/06/18,wing warping,"Neilson, 1910 p. 69",wing warping,,1,,,,,,,,
1842,de,Henson,,,1842/09/29,"Locomotive Apparatus for Air, Land and Water",Lilienthal museum,"Locomotive Apparatus for Air, Land and Water",,1,,,,,,,,
1844,de,verschiedene,,,,Pratt Truss,Lilienthal museum,Pratt Truss,,1,,,,,,,,
1849,de,Smyth,,,,Fesselhubschrauber,Lilienthal museum,Fesselhubschrauber,,1,,,,,,,,
1856,de,Carlngford,,,,Flugapparat,Lilienthal museum,Flugapparat,,1,,,,,,,,
1857,de,Temple,,,,Motorflugapparat,Lilienthal museum,Motorflugapparat,,1,,,,,,,,
1860,de,Smythies,,,,Drachenflieger,Lilienthal museum,Drachenflieger,,1,,,,,,,,
1862,de,Crowell,,,,Convertiplan,Lilienthal museum,Convertiplan,,1,,,,,,,,
1864,de,Claudel,,,,Flugapparat,Lilienthal museum,Flugapparat,,1,,,,,,,,
1864,de,Teleschow,,,,fixed-wing aircraft,Lilienthal museum,Starrflügler,,1,,,,,,,,
1867,de,Butler,,,,Rückstoßgetriebener Flugapparat,Lilienthal museum,Rückstoßgetriebener Flugapparat,,1,,,,,,,,
1867,de,Kaufmann,,,,Schlagflügelapparat,Lilienthal museum,Schlagflügelapparat,,1,,,,,,,,
1867,de,Smyth,,,,Flugapparat,Lilienthal museum,Flugapparat,,1,,,,,,,,
1867,de,Teleschow,,,,Deltaflügler mit reaktivem Antrieb,Lilienthal museum,Deltaflügler mit reaktivem Antrieb,,1,,,,,,,,
1868,de,Boulton,,,,Querruder für Flugapparat,the one with ailerons?,Querruder für Flugapparat,,1,,,,,,,,
1871,de,Danjard,,,,Flugapparat,Lilienthal museum,Flugapparat,,1,,,,,,,,
1876,de,Penaud,,,,Manntragender Flugapparat,Lilienthal museum,Manntragender Flugapparat,,1,,,,,,,,
1877,de,"Lilienthal, G.",,,1877/01/10,Verbesserungen an Schrämmaschinen mit Messerscheibe,Lilienthal museum,Verbesserungen an Schrämmaschinen mit Messerscheibe,,1,,,,,,,,
1877,de,"Lilienthal, G.",,,1877/10/20,Schräm-Maschine mit Messerscheibe,Lilienthal museum,Schräm-Maschine mit Messerscheibe,,1,,,,,,,,
1877,de,"Baumgarten, Georg (Forsthaus Grüna bei Chemnitz)",DE77   ,8392,1877/11/18,Locomotion devices for airships and watercraft,Lilienthal museum ; http://www.museumnet.lilienthal-museum.de/digitalisate/8392.pdf,Fortbewegungs-Apparate für Luft-und Wasserschiffe,,1,'1877/11/18,1880/01/31,,,,,,
1877,de,"Baumgarten, Georg (Forsthaus Grüna bei Chemnitz)",DE77   ,11471,1880/03/31 and 1880/11/08,Changes in locomotion apparatus,Lilienthal museum ; http://www.museumnet.lilienthal-museum.de/digitalisate/11471.pdf,Neuerungen an Fortbewegungsapparaten,8392,1,1880/03/31,1880/11/08,,,,,,
1878,de,"Lilienthal, Otto",,,1878/03/15,Compasses for metal working with a device for marking out center lines of . . .  (??),Lilienthal museum,Zirkel für Metallarbeiter mit Vorrichtung zum Anreissen von Mittellinien,,1,,,,,,,,
1878,de,"Ackermann, Dr. Gebhard (in Sagan, or Sagen)",LTA,3486,1878/05/07,Flight apparatus,Lilienthal museum; http://www.museumnet.lilienthal-museum.de/digitalisate/3486.pdf,Flug-Apparat,,1,1878/05/07,1879/01/16,,,,,,
1878,de,Cowan,,,1878/05/18,Neierung an den Schaufelrädern mit drehbaren Schaufeln zur Fortbewegung von Luftschiffen und unterseeischen Schiffen,Lilienthal museum,Neierung an den Schaufelrädern mit drehbaren Schaufeln zur Fortbewegung von Luftschiffen und unterseeischen Schiffen,,1,,,,,,,,
1878,de,Pomes,,,,Muskelkraftflugapparat,Lilienthal museum,Muskelkraftflugapparat,,1,,,,,,,,
1879,de,"Fischer, G.",,,1879/03/25,Flügel-Luftschiff,Lilienthal museum,Flügel-Luftschiff,,1,,,,,,,,
1879,de,"Baumgarten, Georg (Forsthaus Grüna bei Chemnitz)",LTA; navigation,9137,1879/04/02,Wing airship steering device,Lilienthal museum ; http://www.museumnet.lilienthal-museum.de/digitalisate/9137.pdf,Flügelluftschiff mit Lenkvorrichtung,,1,1879/04/02,1880/05/18,,,,,,
1879,de,Kress,,,1879/06/18,lenkbarer Flugapparat,Lilienthal museum,lenkbarer Flugapparat,,1,,,,,,,,
1879,de,Blume,,,1879/07/30,Thumbscrew with air bags as a blowing device for airships,Lilienthal museum,Flügelschraube mit Luftsäcken als Treibvorrichtung für Luftschiffe,,1,,,,,,,,
1879,de,"Fischer, G.",,,1879/09/21,Neuerungen an Luftschiffen,Lilienthal museum,Neuerungen an Luftschiffen,,1,,,,,,,,
1879,de,Leggo,,,1879/10/03,Neuerungen an Luftschiffen,Lilienthal museum,Neuerungen an Luftschiffen,,1,,,,,,,,
1879,de,Griese,,,1879/12/07,Flugapparat,Lilienthal museum,Flugapparat,,1,,,,,,,,
1880,de,"Fischer, G.",,,1880/03/09,Luftschiff mit Ruderflügeln,Lilienthal museum,Luftschiff mit Ruderflügeln,,1,,,,,,,,
1880,de,Brearey,,,1880/05/06,Flugapparat,Lilienthal museum,Flugapparat,,1,,,,,,,,
1880,de,Joens,,,1880/08/10,Treibvorrichtung an Flugmaschinen,Lilienthal museum,Treibvorrichtung an Flugmaschinen,,1,,,,,,,,
1880,de,"Lilienthal, Otto; Lilienthal, Gustav",,,1880/09/18,Composition Toy Building-Block.,Lilienthal museum,Composition Toy Building-Block.,,1,,,,,,,,
1880,de,Richter,,,1880/10/08,Verfahren zur Herstellung von künstlichen Steinen,Lilienthal museum,Verfahren zur Herstellung von künstlichen Steinen,,1,,,,,,,,
1880,de,"Baumgarten, Georg (Forsthaus Grüna bei Chemnitz)",LTA ; DE77,14684,1880/10/31,Neuerungen an Luftschiffen,Lilienthal museum ; http://www.museumnet.lilienthal-museum.de/digitalisate/14684.pdf,Neuerungen an Luftschiffen,9137,1,1880/10/31,1881/08/08,,,,,,
1880,de,Klein,,,1880/12/09,Steuerungsmechanismus für Luftschiffe,Lilienthal museum,Steuerungsmechanismus für Luftschiffe,,1,,,,,,,,
1881,de,Moshaiski,,,1881/00/00,Motorflugzeug,Lilienthal museum,Motorflugzeug,,1,,,,,,,,
1881,de,Heim,,,1881/01/19,Luftschiff,Lilienthal museum,Luftschiff,,1,,,,,,,,
1881,de,Wirth & Co.,,,1881/02/22,Neuerungen an Apparaten zur Fortbewegung in Luft und Wasser,Lilienthal museum,Neuerungen an Apparaten zur Fortbewegung in Luft und Wasser,,1,,,,,,,,
1881,de,Kleeberg,,,1881/03/25,Lenkvorrichtung für Luftballons,Lilienthal museum,Lenkvorrichtung für Luftballons,,1,,,,,,,,
1881? Or 1879?,de,"Apraxine, [Graf] Antoine (St. Petersburg)",DE77; LTA,6372,1878/06/21 ; 1879/07/30 ; and 1881/04/09 all appear somewhere,Changes in balloons,Lilienthal museum ; http://www.museumnet.lilienthal-museum.de/digitalisate/6372.pdf ; Note to Bernd that the date seems to be wrong on the list at the museum's site,Neuerungen an Luftballons,,1,1878/06/21,1879/07/30,,,,,,
1881,de,"Lilienthal, Otto",,,1881/04/09,Neuerungen an Dampfkesseln,Lilienthal museum,Neuerungen an Dampfkesseln,,1,,,,,,,,
1881,de,Mondorf,,,1881/04/12,"Fortbewegungsapparat für Luftschiffe genannt ""Segelschraube""",Lilienthal museum,"Fortbewegungsapparat für Luftschiffe genannt ""Segelschraube""",,1,,,,,,,,
1881,de,Debayeux,,,1881/08/20,Neuerungen an Luftschiffen,Lilienthal museum,Neuerungen an Luftschiffen,,1,,,,,,,,
1881,de,Werner,,,1881/09/08,Luftschiff mit beweglicher Gondel und verstellbaren Windschraubenflächen,Lilienthal museum,Luftschiff mit beweglicher Gondel und verstellbaren Windschraubenflächen,,1,,,,,,,,
1881,de,Livingstone,,,1881/09/27,Neuerungen an Fahrzeugen und Maschinen für Luftschiffahrt,Lilienthal museum,Neuerungen an Fahrzeugen und Maschinen für Luftschiffahrt,,1,,,,,,,,
1881,de,Baumgarten,,,1881/09/30,Neuerungen an Luftschiffen,Lilienthal museum,Neuerungen an Luftschiffen,,1,,,,,,,,
1881,de,"Graf, O.",,,1881/10/15,Steuervorrichtung für Luftschiffe,Lilienthal museum,Steuervorrichtung für Luftschiffe,,1,,,,,,,,
1881,de,"Lilienthal, Otto",,,1881/12/30,Direct-acting carrier for regulators,Lilienthal museum,Direct wirkender Uebertrager für Regulatoren,,1,,,,,,,,
1882,de,Petersen,,,1882/01/13,Neuerungen an Luftschiffen,Lilienthal museum,Neuerungen an Luftschiffen,,1,,,,,,,,
1882,de,Baumgarten,,,1882/02/19,Neuerungen an Wendeflügeln zur Fortbewegung von Luft-und Wasserschiffen,Lilienthal museum,Neuerungen an Wendeflügeln zur Fortbewegung von Luft-und Wasserschiffen,,1,,,,,,,,
1882,de,Wedell,,,1882/03/15,"Flug-Apparat, betrieben durch Elektrizität",Lilienthal museum,"Flug-Apparat, betrieben durch Elektrizität",,1,,,,,,,,
1882,de,Brearey,,,1882/03/17,Neuerungen an Flugapparaten,Lilienthal museum,Neuerungen an Flugapparaten,,1,,,,,,,,
1882,de,Plate,,,1882/05/07,Luftschiff mit Lenkvorrichtung,Lilienthal museum,Luftschiff mit Lenkvorrichtung,,1,,,,,,,,
1882,de,Wirth & Co.,,,1882/05/07,Neuerungen an den durch Patent Nr. 15085 geschützten Apparaten zur Fortbewegung in Luft und Wasser,Lilienthal museum,Neuerungen an den durch Patent Nr. 15085 geschützten Apparaten zur Fortbewegung in Luft und Wasser,,1,,,,,,,,
1882,de,Baumgarten,,,1882/07/01,einen für Handbetrieb eingerichteten Fortbewegungsapparat für Luftschiffe,Lilienthal museum,einen für Handbetrieb eingerichteten Fortbewegungsapparat für Luftschiffe,,1,,,,,,,,
1882,de,Nultsch,,,1882/08/31,Neuerungrn an Fortbewegungs- und Lenkvorrichtungen für Luftschiffe,Lilienthal museum,Neuerungrn an Fortbewegungs- und Lenkvorrichtungen für Luftschiffe,,1,,,,,,,,
1882,de,"Koch, Gustav",,,1882/11/01,Neuerung an Luftballons,Lilienthal museum,Neuerung an Luftballons,,1,,,,,,,,
1883,de,Wellner,,,1883/02/27,Segelsteuerung für Luftballons,Lilienthal museum,Segelsteuerung für Luftballons,,1,,,,,,,,
1883,de,Wellner,,,1883/03/28,Keilförmiger Luftballon,Lilienthal museum,Keilförmiger Luftballon,,1,,,,,,,,
1883,de,"Lilienthal, Otto",,,1883/05/04,Risk-free steam engine,Lilienthal museum,Gefahrlose Dampfmaschine,,1,,,,,,,,
1883,de,Eckert,,,1883/06/15,Luftschiff mit Lenkvorrichtung,Lilienthal museum,Luftschiff mit Lenkvorrichtung,,1,,,,,,,,
1883,de,"Henning, H.",,,1883/06/15,Luftschiff mit Lenkvorrichtung,Lilienthal museum,Luftschiff mit Lenkvorrichtung,,1,,,,,,,,
1883,de,Hartung,,,1883/09/05,Anordnung der Lagerung der Schraubenwelle für Luftschiffel,Lilienthal museum,Anordnung der Lagerung der Schraubenwelle für Luftschiffel,,1,,,,,,,,
1883,de,Wiesendanger,,,1883/09/18,Neuerung an Luftschiffen,Lilienthal museum,Neuerung an Luftschiffen,,1,,,,,,,,
1883,de,Ganswindt,,,1883/10/27,Luftschiff mit Lenkvorrichtung,Lilienthal museum,Luftschiff mit Lenkvorrichtung,,1,,,,,,,,
1883,de,Hascher,,,1883/11/13,Luftschiff mit Lenkvorrichtung,Lilienthal museum,Luftschiff mit Lenkvorrichtung,,1,,,,,,,,
1884,de,Hartung,,,1884/02/13,als doppelwirkendes Steuer dienende Schraubenwelle,Lilienthal museum,als doppelwirkendes Steuer dienende Schraubenwelle,,1,,,,,,,,
1884,de,"Lilienthal, Otto",,,1884/04/30,Coiled tube boiler,Lilienthal museum,Schlangenrohrkessel,,1,,,,,,,,
1884,de,"Lilienthal, Otto",,,1884/05/28,Risk-free snake tank,Lilienthal museum,Gefahrloser Schlangenkessel,,1,,,,,,,,
1884,de,Lenglet,,,1884/08/07,Neuerung an Maschinen mit rotirendem Tisch,Lilienthal museum,Neuerung an Maschinen mit rotirendem Tisch,,1,,,,,,,,
1884,de,Phillips,,,1884/10/17,Apparatus for Aerial Navigation,Lilienthal museum,Apparatus for Aerial Navigation,,1,,,,,,,,
1884,de,Capazza,,,1884/12/11,Neuerung an Luftballons,Lilienthal museum,Neuerung an Luftballons,,1,,,,,,,,
1884,de,Phillips,,,,Gewölbte Flächen,Lilienthal museum,Gewölbte Flächen,,1,,,,,,,,
1885,de,Falconnet,,,1885/02/10,Neuerung an Luftschiffen,Lilienthal museum,Neuerung an Luftschiffen,,1,,,,,,,,
1885,de,Braun,,,1885/03/05,Steuerungs-und Lenkvorrichtungen an Luftschiffen,Lilienthal museum,Steuerungs-und Lenkvorrichtungen an Luftschiffen,,1,,,,,,,,
1885,de,"Bontems, Blaise (Paris)",DE77 ; Airship ; LTA,33963,1885/05/05,Airship with a steering device,Lilienthal museum ; full patent:  http://www.museumnet.lilienthal-museum.de/digitalisate/de000000033963a.pdf,Luftschiff mit Lenkvorrichtung,,1,1885/05/05,1885/12/12/,,,,,,
1885,de,"Lilienthal, Otto",,,1885/08/12,Schlangenrohr-Dampferzeuger,Lilienthal museum,Schlangenrohr-Dampferzeuger,,1,,,,,,,,
1885,de,"Lilienthal, G.",,,1885/08/19,Nouveau procede pour fabriquer des pierres artificielles,Lilienthal museum,Nouveau procede pour fabriquer des pierres artificielles,,1,,,,,,,,
1885,de,"Lilienthal, G.",,,1885/10/27,Manufactoring Artificial Stone.,Lilienthal museum,Manufactoring Artificial Stone.,,1,,,,,,,,
1885,de,"Lilienthal, G.",,,1885/11/12,Neues Verfahren zur Herstellung künstlicher Steine,Lilienthal museum,Neues Verfahren zur Herstellung künstlicher Steine,,1,,,,,,,,
1885,de,"Ayres (New Haven, CT, US)",Propeller airplane; helicopter;,,,Propeller plane,"Lilienthal museum: http://www.museumnet.lilienthal-museum.de/objekta.aspx?id=3756 ; Their notes, translated: A rectangular frame made of pipes in the middle provides the pilot on a paddock. On the narrower side of the rectangle are front and rear jeweis two small helicopters. They are driven by compressed air, which are in containers in front or behind the plane. Depending on another helicopter rotor is mounted underneath the front and back. Here is the drive using the pedals, which enters the plane. The propulsion is effected by a pressure screw behind the plane, which is driven by a hand wheel on the right hand of the pilot. Via cables is a front elevation and to operate behind a rudder.
Source: Source 1, pp. 65 ;  Research: Seifert
PBM's note:  There's no  DE patent # in the source ; possibly this is not a German patent but a US one",Schraubenflieger,,1,,,,,,,,
1886,de,"Lilienthal, Otto",,,1886/06/23,Improvments in Steam-engine-boiler-Feedpumpe,Lilienthal museum,Improvments in Steam-engine-boiler-Feedpumpe,,1,,,,,,,,
1886,de,"Lilienthal, G.",,,1886/11/07,Verfahren zur Herstellung einer plastischen Masse,Lilienthal museum,Verfahren zur Herstellung einer plastischen Masse,,1,,,,,,,,
1887,de,Jasch,,,1887/03/06,Vorrichtung zum Steuern von Luftschiffen durch Verlegung des Schwerpunktes einer Flüssigkeit,Lilienthal museum,Vorrichtung zum Steuern von Luftschiffen durch Verlegung des Schwerpunktes einer Flüssigkeit,,1,,,,,,,,
1887,de,Hutchinson,,,1887/05/27,Neuerung an Luftschiffen,Lilienthal museum,Neuerung an Luftschiffen,,1,,,,,,,,
1887,de,Gustafson,,,1887/07/01,Neuerung an Luftschiffen,Lilienthal museum,Neuerung an Luftschiffen,,1,,,,,,,,
1887,de,"Lilienthal, Otto",,,1887/09/21,Schlangenrohrkessel,Lilienthal museum,Schlangenrohrkessel,,1,,,,,,,,
1887,de,"Lilienthal, Otto",,,1887/09/21,An Improved Coil Steam Generator,Lilienthal museum,An Improved Coil Steam Generator,,1,,,,,,,,
1887,de,"Lilienthal, Otto",,,1887/12/01,An Improved Tubular Boiler,Lilienthal museum,An Improved Tubular Boiler,,1,,,,,,,,
1887,de,Gaggino,,,1887/12/25,Lenkbares Luftschiff,Lilienthal museum,Lenkbares Luftschiff,,1,,,,,,,,
1888,de,Raziewitsch,,,1888/00/00,Hubschrauber,Lilienthal museum,Hubschrauber,,1,,,,,,,,
1888,de,"Lilienthal, Otto",,,1888/01/14,Bolts with nut plates on the edge auszubiegendem (??),Lilienthal museum,Schraubensicherung mit am Rande auszubiegendem Mutterteller,,1,,,,,,,,
1888,de,"Lilienthal, Otto",,,1888/04/08,Computing apparatus,Lilienthal museum,Rechenapparat,,1,,,,,,,,
1888,de,"Lilienthal, Otto",,,1888/04/08,Reading game,Lilienthal museum,Lesespiel,,1,,,,,,,,
1888,de,"Lilienthal, Otto",,,1888/04/08,Production of models of strips of different length,Lilienthal museum,Herstellung von Modellbauten aus Leisten verschiedener Länge,,1,,,,,,,,
1888,de,"Lilienthal, Otto",,,1888/05/24,Apparatus and method for the preparation of models,Lilienthal museum,Vorrichtung und Verfahren zur Herstellung von Modellbauten,,1,,,,,,,,
1888,de,Lippold,,,1888/07/03,Ballast Anordnung an walzenförmigen Luftballons,Lilienthal museum,Ballast Anordnung an walzenförmigen Luftballons,,1,,,,,,,,
1888,de,Spalding,,,1888/09/01,Flügelschlagmodell,Lilienthal museum,Flügelschlagmodell,,1,,,,,,,,
1888,de,Anschütz,,S. 44 ; J0616,1888/11/27,Photographic camera,Lilienthal museum,Photographische Kamera,,1,,,,,,,,
1889,de,Kupper,,,1889/01/05,Flugvorrichtungen,Lilienthal museum,Flugvorrichtungen,,1,,,,,,,,
1889,de,Rieckert,,,1889/03/19,Anordnung von Längsschotten bei Luftballons,Lilienthal museum,Anordnung von Längsschotten bei Luftballons,,1,,,,,,,,
1889,de,Renner,,,1889/04/02,Lenkbarer Luftballon mit drehbaren Korbe,Lilienthal museum,Lenkbarer Luftballon mit drehbaren Korbe,,1,,,,,,,,
